bg,eq_BG,CGM_glucose,IOB,rate,running_temp,unsafe_action_reason
127.39,224,154.5380772438964,-0.248,2.1,0.6,Null
100.12,102,100.0,-0.09,0,2.1,Null
100.12,106,100.0,-0.182,0.35,0,Null
100.12,108,100.0,-0.223,0.5,0.35,Null
100.12,94,100.0,-0.215,0,0.5,Null
100.12,100,100.0031931176726,-0.256,0,0,Null
100.13,107,100.01424177871927,-0.347,0.45,0,Null
100.14,107,100.03838250457409,-0.338,0.45,0.45,Null
100.16,108,100.08202148715183,-0.327,0.5,0.45,Null
100.2,111,100.1521424372552,-0.316,0.7,0.5,Null
100.25,111,100.25498948751213,-0.305,0.7,0.7,Null
100.25,110,100.39602444927174,-0.293,0.7,0.7,Null
100.25,110,100.5798228671124,-0.282,0.7,0.7,Null
100.25,109,100.80973526167911,-0.27,0.6,0.7,Null
100.25,109,101.08807194849328,-0.258,0.6,0.6,Null
100.25,108,101.41626650256491,-0.246,0.5,0.6,Null
100.25,108,101.79501897357925,-0.234,0.5,0.5,Null
100.25,109,102.22461725889796,-0.272,0.6,0.5,Null
100.25,109,102.70498422153996,-0.259,0.6,0.6,Null
100.25,108,103.23592151233112,-0.247,0.5,0.6,Null
100.25,108,103.8170921527927,-0.235,0.5,0.5,Null
100.25,110,104.44781212789775,-0.273,0.7,0.5,Null
100.25,109,105.127109366883,-0.26,0.6,0.7,Null
100.25,108,105.85397826407777,-0.248,0.5,0.6,Null
100.25,108,106.62736461146847,-0.235,0.5,0.5,Null
100.25,110,107.44574435369509,-0.273,0.7,0.5,Null
100.25,109,108.30744568886884,-0.261,0.6,0.7,Null
100.25,108,109.21089240273797,-0.248,0.5,0.6,Null
100.25,108,110.15457312105323,-0.236,0.5,0.5,Null
100.25,110,111.13659195619823,-0.273,0.7,0.5,Null
100.25,109,112.15498514295068,-0.261,0.6,0.7,Null
100.25,108,113.20796083024939,-0.248,0.5,0.6,Null
100.25,108,114.29385820026172,-0.236,0.5,0.5,Null
100.25,110,115.41067294274994,-0.273,0.7,0.5,Null
100.25,109,116.55637568572448,-0.261,0.6,0.7,Null
100.25,108,117.72915423302828,-0.248,0.5,0.6,Null
100.25,108,118.92736639291181,-0.236,0.5,0.5,Null
100.25,110,120.1490418409859,-0.274,0.7,0.5,Null
100.25,109,121.39220741055334,-0.261,0.6,0.7,Null
100.25,108,122.65513564776352,-0.249,0.5,0.6,Null
100.25,108,123.93629346448671,-0.236,0.5,0.5,Null
100.25,110,125.2338208102899,-0.274,0.7,0.5,Null
100.25,109,126.54586605802331,-0.261,0.6,0.7,Null
100.25,108,127.8708431473361,-0.249,0.5,0.6,Null
100.25,108,129.20737702805133,-0.237,0.5,0.5,Null
100.25,110,130.55375898899177,-0.275,0.7,0.5,Null
100.25,109,131.90829412185576,-0.262,0.6,0.7,Null
100.25,109,133.269568292834,-0.25,0.6,0.6,Null
100.25,108,134.63639071703398,-0.238,0.5,0.6,Null
100.25,107,136.00722566064147,-0.226,0.45,0.5,Null
100.25,109,137.38055316024142,-0.264,0.6,0.45,Null
100.25,106,138.7548806775003,-0.203,0.35,0.6,Null
100.25,108,140.12902092094473,-0.242,0.5,0.35,Null
100.25,108,141.50216453858704,-0.231,0.5,0.5,Null
100.25,109,142.87338183854766,-0.269,0.6,0.5,Null
100.25,109,144.2423490027025,-0.258,0.6,0.6,Null
100.25,108,145.6087777649612,-0.246,0.5,0.6,Null
100.25,108,146.97240006343404,-0.235,0.5,0.5,Null
100.25,110,148.3326718787012,-0.273,0.7,0.5,Null
100.25,109,149.68883893504884,-0.261,0.6,0.7,Null
100.25,108,151.0402813765978,-0.249,0.5,0.6,Null
100.25,108,152.38648368289174,-0.237,0.5,0.5,Null
100.25,110,153.72642043797404,-0.275,0.7,0.5,Null
100.25,109,155.05898879674373,-0.263,0.6,0.7,Null
100.25,109,156.38334218972375,-0.251,0.6,0.6,Null
100.25,108,157.69883890819793,-0.24,0.5,0.6,Null
100.25,108,159.004389044657,-0.228,0.5,0.5,Null
100.25,109,160.29888757169005,-0.266,0.6,0.5,Null
100.25,109,161.58123681747992,-0.254,0.6,0.6,Null
100.25,108,162.850677060822,-0.242,0.5,0.6,Null
100.25,108,164.10671787566724,-0.23,0.5,0.5,Null
100.25,109,165.348763098966,-0.268,0.6,0.5,Null
100.25,109,166.57614719281267,-0.256,0.6,0.6,Null
100.25,108,167.78848741935116,-0.244,0.5,0.6,Null
100.25,108,168.98562232847976,-0.232,0.5,0.5,Null
100.25,109,170.16723350170403,-0.27,0.6,0.5,Null
100.25,109,171.33289036174193,-0.258,0.6,0.6,Null
100.25,108,172.482418735266,-0.245,0.5,0.6,Null
100.25,108,173.61584244221393,-0.233,0.5,0.5,Null
100.25,109,174.7329988156887,-0.271,0.6,0.5,Null
100.25,109,175.83358886396329,-0.259,0.6,0.6,Null
100.25,108,176.91755903121185,-0.247,0.5,0.6,Null
100.25,108,177.9850436535212,-0.235,0.5,0.5,Null
100.25,110,179.03597283549368,-0.273,0.7,0.5,Null
100.25,109,180.07012618952723,-0.261,0.6,0.7,Null
100.25,108,181.0875257446831,-0.248,0.5,0.6,Null
100.25,108,182.08837806485775,-0.237,0.5,0.5,Null
100.25,110,183.07232171670628,-0.274,0.7,0.5,Null
100.25,109,184.0389336239132,-0.262,0.6,0.7,Null
100.25,109,184.98811422653438,-0.25,0.6,0.6,Null
100.25,108,185.9200137128189,-0.238,0.5,0.6,Null
100.25,107,186.83425120806066,-0.226,0.45,0.5,Null
100.25,109,187.73042221832787,-0.264,0.6,0.45,Null
100.25,106,188.6081197954776,-0.203,0.35,0.6,Null
100.25,108,189.46731607232473,-0.242,0.5,0.35,Null
100.25,108,190.3084580503417,-0.23,0.5,0.5,Null
100.25,109,191.13179198947398,-0.269,0.6,0.5,Null
100.25,109,191.93833815737761,-0.257,0.6,0.6,Null
100.25,108,192.72912029414243,-0.246,0.5,0.6,Null
100.25,108,193.5051440701071,-0.234,0.5,0.5,Null
100.25,109,194.2670062421713,-0.272,0.6,0.5,Null
100.25,109,195.01498607582735,-0.26,0.6,0.6,Null
100.25,108,195.74949891787583,-0.249,0.5,0.6,Null
100.25,108,196.47105479510486,-0.237,0.5,0.5,Null
100.25,110,197.17984464098524,-0.275,0.7,0.5,Null
100.25,109,197.8758188426002,-0.263,0.6,0.7,Null
100.25,109,198.55913506577474,-0.251,0.6,0.6,Null
100.25,108,199.2301050831368,-0.239,0.5,0.6,Null
199.89,572,199.888380174079,-0.227,2.1,0.5,Null
200.53,205,200.5335171607222,-0.066,2.1,2.1,Null
201.17,200,201.1650176769325,0.045,2.1,2.1,Null
201.78,195,201.7827488130008,0.204,2.1,2.1,Null
202.38,190,202.38061358133942,0.311,2.1,2.1,Null
202.95,186,202.9482316009874,0.416,2.1,2.1,Null
203.47,183,203.47231937658736,0.518,2.1,2.1,Null
203.94,177,203.93782036064923,0.667,2.1,2.1,Null
204.33,174,204.3288276409206,0.762,2.1,2.1,Null
204.63,170,204.6293344734325,0.855,2.1,2.1,Null
204.82,165,204.82384089651597,0.994,2.1,2.1,Null
204.9,161,204.8978387178268,1.079,2.1,2.1,Null
204.84,158,204.83819237609853,1.161,2.1,2.1,Null
204.63,152,204.63342949021578,1.288,2.1,2.1,Null
204.27,149,204.2739521872425,1.362,2,2.1,Null
203.75,143,203.7521783825451,1.482,1.75,2,Null
203.06,142,203.06262089870975,1.497,1.7,1.75,Null
202.2,138,202.20191149590508,1.559,1.6,1.7,Null
201.17,134,201.16916756031492,1.617,1.45,1.6,Null
199.97,131,199.96677335421984,1.672,1.35,1.45,Null
198.6,131,198.60005128046046,1.623,1.35,1.35,Null
197.08,129,197.0771018720757,1.621,1.35,1.35,Null
195.41,128,195.4087547714132,1.617,1.45,1.35,Null
193.61,124,193.60820512600662,1.66,1.3,1.45,Null
191.69,125,191.69024584767104,1.601,1.3,1.3,Null
189.67,122,189.67061887864784,1.591,1.25,1.3,Null
187.57,120,187.5651088423569,1.58,1.15,1.25,Null
185.39,119,185.38977569238702,1.567,1.1,1.15,Null
183.16,117,183.16051507599892,1.552,1,1.1,Null
180.89,116,180.89289142893315,1.537,0.95,1,Null
178.6,114,178.6021642738151,1.521,0.9,0.95,Null
176.3,117,176.30309721377623,1.406,0.9,0.9,Null
174.01,116,174.009972497314,1.389,0.9,0.9,Null
171.74,116,171.73640694559052,1.323,0.95,0.9,Null
169.5,115,169.49521277935665,1.307,0.9,0.95,Null
167.3,118,167.2981347777311,1.192,0.9,0.9,Null
165.16,116,165.15568447542321,1.178,0.9,0.9,Null
163.08,117,163.076892433817,1.114,1,0.9,Null
161.07,115,161.06949669253768,1.102,0.9,1,Null
159.14,117,159.13994957275347,1.041,0.9,0.9,Null
157.29,116,157.2934607243665,1.031,0.9,0.9,Null
155.53,117,155.53376160071312,0.972,1,0.9,Null
